Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,07 Castilla y León,47 Valladolid,2023-08-01,0.17,47,2023,8,0.016359918200408996
Total Nacional,07 Castilla y León,47 Valladolid,2023-02-01,0.18,47,2023,2,0.01840490797546012
Total Nacional,07 Castilla y León,47 Valladolid,2022-08-01,0.16,47,2022,8,0.014314928425357872
Total Nacional,07 Castilla y León,47 Valladolid,2022-02-01,0.16,47,2022,2,0.014314928425357872
Total Nacional,07 Castilla y León,47 Valladolid,2021-08-01,0.16,47,2021,8,0.014314928425357872
Total Nacional,07 Castilla y León,47 Valladolid,2021-02-01,0.15,47,2021,2,0.012269938650306747
Total Nacional,07 Castilla y León,47 Valladolid,2020-08-01,0.15,47,2020,8,0.012269938650306747
Total Nacional,07 Castilla y León,49 Zamora,2024-08-01,0.38,49,2024,8,0.05930470347648261
Total Nacional,07 Castilla y León,49 Zamora,2024-02-01,0.32,49,2024,2,0.047034764826175864
Total Nacional,07 Castilla y León,49 Zamora,2023-08-01,0.3,49,2023,8,0.042944785276073615
Total Nacional,07 Castilla y León,49 Zamora,2023-02-01,0.3,49,2023,2,0.042944785276073615
Total Nacional,07 Castilla y León,49 Zamora,2022-08-01,0.3,49,2022,8,0.042944785276073615
Total Nacional,07 Castilla y León,49 Zamora,2022-02-01,0.28,49,2022,2,0.03885480572597137
Total Nacional,07 Castilla y León,49 Zamora,2021-08-01,0.29,49,2021,8,0.04089979550102248
Total Nacional,07 Castilla y León,49 Zamora,2021-02-01,0.25,49,2021,2,0.03271983640081799
Total Nacional,07 Castilla y León,49 Zamora,2020-08-01,0.27,49,2020,8,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,0,2024-08-01,0.4,0,2024,8,0.06339468302658485
Total Nacional,08 Castilla - La Mancha,0,2024-02-01,0.35,0,2024,2,0.05316973415132923
Total Nacional,08 Castilla - La Mancha,0,2023-08-01,0.31,0,2023,8,0.04498977505112473
Total Nacional,08 Castilla - La Mancha,0,2023-02-01,0.31,0,2023,2,0.04498977505112473
Total Nacional,08 Castilla - La Mancha,0,2022-08-01,0.29,0,2022,8,0.04089979550102248
Total Nacional,08 Castilla - La Mancha,0,2022-02-01,0.27,0,2022,2,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,0,2021-08-01,0.27,0,2021,8,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,0,2021-02-01,0.26,0,2021,2,0.03476482617586912
Total Nacional,08 Castilla - La Mancha,0,2020-08-01,0.27,0,2020,8,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,02 Albacete,2024-08-01,0.45,2,2024,8,0.07361963190184048
Total Nacional,08 Castilla - La Mancha,02 Albacete,2024-02-01,0.4,2,2024,2,0.06339468302658485
Total Nacional,08 Castilla - La Mancha,02 Albacete,2023-08-01,0.37,2,2023,8,0.05725971370143148
Total Nacional,08 Castilla - La Mancha,02 Albacete,2023-02-01,0.37,2,2023,2,0.05725971370143148
Total Nacional,08 Castilla - La Mancha,02 Albacete,2022-08-01,0.33,2,2022,8,0.049079754601226995
Total Nacional,08 Castilla - La Mancha,02 Albacete,2022-02-01,0.3,2,2022,2,0.042944785276073615
Total Nacional,08 Castilla - La Mancha,02 Albacete,2021-08-01,0.29,2,2021,8,0.04089979550102248
Total Nacional,08 Castilla - La Mancha,02 Albacete,2021-02-01,0.28,2,2021,2,0.03885480572597137
Total Nacional,08 Castilla - La Mancha,02 Albacete,2020-08-01,0.27,2,2020,8,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2024-08-01,0.27,13,2024,8,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2024-02-01,0.23,13,2024,2,0.028629856850715743
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2023-08-01,0.2,13,2023,8,0.02249488752556237
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2023-02-01,0.22,13,2023,2,0.02658486707566462
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2022-08-01,0.21,13,2022,8,0.024539877300613494
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2022-02-01,0.19,13,2022,2,0.020449897750511245
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2021-08-01,0.19,13,2021,8,0.020449897750511245
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2021-02-01,0.17,13,2021,2,0.016359918200408996
Total Nacional,08 Castilla - La Mancha,13 Ciudad Real,2020-08-01,0.18,13,2020,8,0.01840490797546012
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2024-08-01,0.63,16,2024,8,0.11042944785276071
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2024-02-01,0.57,16,2024,2,0.09815950920245398
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2023-08-01,0.51,16,2023,8,0.08588957055214724
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2023-02-01,0.48,16,2023,2,0.07975460122699385
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2022-08-01,0.45,16,2022,8,0.07361963190184048
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2022-02-01,0.41,16,2022,2,0.06543967280163598
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2021-08-01,0.43,16,2021,8,0.06952965235173822
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2021-02-01,0.38,16,2021,2,0.05930470347648261
Total Nacional,08 Castilla - La Mancha,16 Cuenca,2020-08-01,0.41,16,2020,8,0.06543967280163598
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2024-08-01,0.42,19,2024,8,0.06748466257668712
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2024-02-01,0.36,19,2024,2,0.05521472392638036
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2023-08-01,0.32,19,2023,8,0.047034764826175864
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2023-02-01,0.28,19,2023,2,0.03885480572597137
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2022-08-01,0.28,19,2022,8,0.03885480572597137
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2022-02-01,0.27,19,2022,2,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2021-08-01,0.27,19,2021,8,0.03680981595092025
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2021-02-01,0.25,19,2021,2,0.03271983640081799
Total Nacional,08 Castilla - La Mancha,19 Guadalajara,2020-08-01,0.26,19,2020,8,0.03476482617586912
Total Nacional,08 Castilla - La Mancha,45 Toledo,2024-08-01,0.38,45,2024,8,0.05930470347648261
Total Nacional,08 Castilla - La Mancha,45 Toledo,2024-02-01,0.33,45,2024,2,0.049079754601226995
Total Nacional,08 Castilla - La Mancha,45 Toledo,2023-08-01,0.29,45,2023,8,0.04089979550102248
Total Nacional,08 Castilla - La Mancha,45 Toledo,2023-02-01,0.29,45,2023,2,0.04089979550102248
Total Nacional,08 Castilla - La Mancha,45 Toledo,2022-08-01,0.28,45,2022,8,0.03885480572597137
Total Nacional,08 Castilla - La Mancha,45 Toledo,2022-02-01,0.25,45,2022,2,0.03271983640081799
Total Nacional,08 Castilla - La Mancha,45 Toledo,2021-08-01,0.25,45,2021,8,0.03271983640081799
Total Nacional,08 Castilla - La Mancha,45 Toledo,2021-02-01,0.26,45,2021,2,0.03476482617586912
Total Nacional,08 Castilla - La Mancha,45 Toledo,2020-08-01,0.28,45,2020,8,0.03885480572597137
Total Nacional,09 Cataluña,0,2024-08-01,1.5,0,2024,8,0.28834355828220853
Total Nacional,09 Cataluña,0,2024-02-01,1.34,0,2024,2,0.2556237218813906
Total Nacional,09 Cataluña,0,2023-08-01,1.33,0,2023,8,0.25357873210633947
Total Nacional,09 Cataluña,0,2023-02-01,1.18,0,2023,2,0.22290388548057255
Total Nacional,09 Cataluña,0,2022-08-01,1.28,0,2022,8,0.2433537832310838
Total Nacional,09 Cataluña,0,2022-02-01,1.28,0,2022,2,0.2433537832310838
Total Nacional,09 Cataluña,0,2021-08-01,1.46,0,2021,8,0.28016359918200406
Total Nacional,09 Cataluña,0,2021-02-01,1.41,0,2021,2,0.2699386503067484
Total Nacional,09 Cataluña,0,2020-08-01,1.64,0,2020,8,0.31697341513292426
Total Nacional,09 Cataluña,08 Barcelona,2024-08-01,0.72,8,2024,8,0.12883435582822084
Total Nacional,09 Cataluña,08 Barcelona,2024-02-01,0.65,8,2024,2,0.11451942740286297
Total Nacional,09 Cataluña,08 Barcelona,2023-08-01,0.57,8,2023,8,0.09815950920245398
Total Nacional,09 Cataluña,08 Barcelona,2023-02-01,0.55,8,2023,2,0.09406952965235174
Total Nacional,09 Cataluña,08 Barcelona,2022-08-01,0.57,8,2022,8,0.09815950920245398
Total Nacional,09 Cataluña,08 Barcelona,2022-02-01,0.73,8,2022,2,0.13087934560327197
Total Nacional,09 Cataluña,08 Barcelona,2021-08-01,0.8,8,2021,8,0.14519427402862983
Total Nacional,09 Cataluña,08 Barcelona,2021-02-01,0.87,8,2021,2,0.1595092024539877
Total Nacional,09 Cataluña,08 Barcelona,2020-08-01,1.0,8,2020,8,0.18609406952965232
Total Nacional,09 Cataluña,17 Girona,2024-08-01,4.59,17,2024,8,0.920245398773006
Total Nacional,09 Cataluña,17 Girona,2024-02-01,4.09,17,2024,2,0.8179959100204498
Total Nacional,09 Cataluña,17 Girona,2023-08-01,4.27,17,2023,8,0.85480572597137
Total Nacional,09 Cataluña,17 Girona,2023-02-01,3.78,17,2023,2,0.7546012269938649
Total Nacional,09 Cataluña,17 Girona,2022-08-01,4.15,17,2022,8,0.8302658486707566
Total Nacional,09 Cataluña,17 Girona,2022-02-01,3.69,17,2022,2,0.7361963190184048
Total Nacional,09 Cataluña,17 Girona,2021-08-01,4.38,17,2021,8,0.8773006134969323
Total Nacional,09 Cataluña,17 Girona,2021-02-01,3.91,17,2021,2,0.7811860940695295
Total Nacional,09 Cataluña,17 Girona,2020-08-01,4.52,17,2020,8,0.9059304703476481
Total Nacional,09 Cataluña,25 Lleida,2024-08-01,1.16,25,2024,8,0.2188139059304703
Total Nacional,09 Cataluña,25 Lleida,2024-02-01,1.11,25,2024,2,0.2085889570552147
Total Nacional,09 Cataluña,25 Lleida,2023-08-01,1.09,25,2023,8,0.20449897750511245
Total Nacional,09 Cataluña,25 Lleida,2023-02-01,1.09,25,2023,2,0.20449897750511245
Total Nacional,09 Cataluña,25 Lleida,2022-08-01,1.05,25,2022,8,0.19631901840490795
Total Nacional,09 Cataluña,25 Lleida,2022-02-01,1.01,25,2022,2,0.18813905930470345
Total Nacional,09 Cataluña,25 Lleida,2021-08-01,1.06,25,2021,8,0.19836400817995908
Total Nacional,09 Cataluña,25 Lleida,2021-02-01,0.97,25,2021,2,0.17995910020449896
Total Nacional,09 Cataluña,25 Lleida,2020-08-01,1.0,25,2020,8,0.18609406952965232
Total Nacional,09 Cataluña,43 Tarragona,2024-08-01,2.49,43,2024,8,0.4907975460122699
Total Nacional,09 Cataluña,43 Tarragona,2024-02-01,2.22,43,2024,2,0.43558282208588955
Total Nacional,09 Cataluña,43 Tarragona,2023-08-01,2.33,43,2023,8,0.4580777096114519
Total Nacional,09 Cataluña,43 Tarragona,2023-02-01,1.97,43,2023,2,0.3844580777096114
Total Nacional,09 Cataluña,43 Tarragona,2022-08-01,2.2,43,2022,8,0.4314928425357873
Total Nacional,09 Cataluña,43 Tarragona,2022-02-01,1.92,43,2022,2,0.3742331288343558
Total Nacional,09 Cataluña,43 Tarragona,2021-08-01,2.22,43,2021,8,0.43558282208588955
Total Nacional,09 Cataluña,43 Tarragona,2021-02-01,2.0,43,2021,2,0.3905930470347648
Total Nacional,09 Cataluña,43 Tarragona,2020-08-01,2.41,43,2020,8,0.4744376278118609
Total Nacional,10 Comunitat Valenciana,0,2024-08-01,2.17,0,2024,8,0.4253578732106339
Total Nacional,10 Comunitat Valenciana,0,2024-02-01,1.81,0,2024,2,0.35173824130879344
Total Nacional,10 Comunitat Valenciana,0,2023-08-01,1.78,0,2023,8,0.34560327198364005
Total Nacional,10 Comunitat Valenciana,0,2023-02-01,1.59,0,2023,2,0.30674846625766866
Total Nacional,10 Comunitat Valenciana,0,2022-08-01,1.64,0,2022,8,0.31697341513292426
Total Nacional,10 Comunitat Valenciana,0,2022-02-01,1.51,0,2022,2,0.29038854805725967
Total Nacional,10 Comunitat Valenciana,0,2021-08-01,1.62,0,2021,8,0.31288343558282206
Total Nacional,10 Comunitat Valenciana,0,2021-02-01,1.58,0,2021,2,0.3047034764826176
Total Nacional,10 Comunitat Valenciana,0,2020-08-01,1.74,0,2020,8,0.3374233128834355
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2024-08-01,3.31,3,2024,8,0.6584867075664621
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2024-02-01,2.82,3,2024,2,0.5582822085889569
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2023-08-01,2.81,3,2023,8,0.5562372188139059
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2023-02-01,2.6,3,2023,2,0.5132924335378323
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2022-08-01,2.67,3,2022,8,0.5276073619631901
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2022-02-01,2.51,3,2022,2,0.49488752556237203
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2021-08-01,2.65,3,2021,8,0.5235173824130879
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2021-02-01,2.62,3,2021,2,0.5173824130879345
Total Nacional,10 Comunitat Valenciana,03 Alicante/Alacant,2020-08-01,2.8,3,2020,8,0.5541922290388547
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2024-08-01,1.96,12,2024,8,0.38241308793456025
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2024-02-01,1.53,12,2024,2,0.29447852760736193
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2023-08-01,1.58,12,2023,8,0.3047034764826176
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2023-02-01,1.31,12,2023,2,0.2494887525562372
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2022-08-01,1.45,12,2022,8,0.27811860940695293
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2022-02-01,1.17,12,2022,2,0.22085889570552142
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2021-08-01,1.35,12,2021,8,0.2576687116564417
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2021-02-01,1.13,12,2021,2,0.21267893660531692
Total Nacional,10 Comunitat Valenciana,12 Castellón/Castelló,2020-08-01,1.33,12,2020,8,0.25357873210633947
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2024-08-01,1.2,46,2024,8,0.2269938650306748
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2024-02-01,0.98,46,2024,2,0.18200408997955006
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2023-08-01,0.9,46,2023,8,0.1656441717791411
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2023-02-01,0.78,46,2023,2,0.1411042944785276
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2022-08-01,0.79,46,2022,8,0.14314928425357873
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2022-02-01,0.73,46,2022,2,0.13087934560327197
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2021-08-01,0.8,46,2021,8,0.14519427402862983
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2021-02-01,0.8,46,2021,2,0.14519427402862983
Total Nacional,10 Comunitat Valenciana,46 Valencia/València,2020-08-01,0.92,46,2020,8,0.16973415132924333
Total Nacional,11 Extremadura,0,2024-08-01,0.29,0,2024,8,0.04089979550102248
Total Nacional,11 Extremadura,0,2024-02-01,0.25,0,2024,2,0.03271983640081799
Total Nacional,11 Extremadura,0,2023-08-01,0.23,0,2023,8,0.028629856850715743
Total Nacional,11 Extremadura,0,2023-02-01,0.23,0,2023,2,0.028629856850715743
Total Nacional,11 Extremadura,0,2022-08-01,0.23,0,2022,8,0.028629856850715743
Total Nacional,11 Extremadura,0,2022-02-01,0.2,0,2022,2,0.02249488752556237
Total Nacional,11 Extremadura,0,2021-08-01,0.2,0,2021,8,0.02249488752556237
Total Nacional,11 Extremadura,0,2021-02-01,0.2,0,2021,2,0.02249488752556237
Total Nacional,11 Extremadura,0,2020-08-01,0.21,0,2020,8,0.024539877300613494
Total Nacional,11 Extremadura,06 Badajoz,2024-08-01,0.16,6,2024,8,0.014314928425357872
Total Nacional,11 Extremadura,06 Badajoz,2024-02-01,0.14,6,2024,2,0.010224948875255626
Total Nacional,11 Extremadura,06 Badajoz,2023-08-01,0.12,6,2023,8,0.0061349693251533735
Total Nacional,11 Extremadura,06 Badajoz,2023-02-01,0.12,6,2023,2,0.0061349693251533735
Total Nacional,11 Extremadura,06 Badajoz,2022-08-01,0.12,6,2022,8,0.0061349693251533735
Total Nacional,11 Extremadura,06 Badajoz,2022-02-01,0.09,6,2022,2,0.0
Total Nacional,11 Extremadura,06 Badajoz,2021-08-01,0.09,6,2021,8,0.0
Total Nacional,11 Extremadura,06 Badajoz,2021-02-01,0.09,6,2021,2,0.0
Total Nacional,11 Extremadura,06 Badajoz,2020-08-01,0.1,6,2020,8,0.0020449897750511245
Total Nacional,11 Extremadura,10 Cáceres,2024-08-01,0.46,10,2024,8,0.07566462167689161
Total Nacional,11 Extremadura,10 Cáceres,2024-02-01,0.4,10,2024,2,0.06339468302658485
Total Nacional,11 Extremadura,10 Cáceres,2023-08-01,0.37,10,2023,8,0.05725971370143148
Total Nacional,11 Extremadura,10 Cáceres,2023-02-01,0.38,10,2023,2,0.05930470347648261
Total Nacional,11 Extremadura,10 Cáceres,2022-08-01,0.38,10,2022,8,0.05930470347648261
Total Nacional,11 Extremadura,10 Cáceres,2022-02-01,0.34,10,2022,2,0.05112474437627811
Total Nacional,11 Extremadura,10 Cáceres,2021-08-01,0.35,10,2021,8,0.05316973415132923
Total Nacional,11 Extremadura,10 Cáceres,2021-02-01,0.34,10,2021,2,0.05112474437627811
Total Nacional,11 Extremadura,10 Cáceres,2020-08-01,0.36,10,2020,8,0.05521472392638036
Total Nacional,12 Galicia,0,2024-08-01,1.25,0,2024,8,0.23721881390593041
Total Nacional,12 Galicia,0,2024-02-01,1.02,0,2024,2,0.19018404907975459
Total Nacional,12 Galicia,0,2023-08-01,1.03,0,2023,8,0.1922290388548057
Total Nacional,12 Galicia,0,2023-02-01,0.92,0,2023,2,0.16973415132924333
Total Nacional,12 Galicia,0,2022-08-01,0.99,0,2022,8,0.1840490797546012
Total Nacional,12 Galicia,0,2022-02-01,0.79,0,2022,2,0.14314928425357873
Total Nacional,12 Galicia,0,2021-08-01,0.84,0,2021,8,0.15337423312883433
Total Nacional,12 Galicia,0,2021-02-01,0.71,0,2021,2,0.1267893660531697
Total Nacional,12 Galicia,0,2020-08-01,0.78,0,2020,8,0.1411042944785276
Total Nacional,12 Galicia,"15 Coruña, A",2024-08-01,1.18,15,2024,8,0.22290388548057255
Total Nacional,12 Galicia,"15 Coruña, A",2024-02-01,0.97,15,2024,2,0.17995910020449896
Total Nacional,12 Galicia,"15 Coruña, A",2023-08-01,0.97,15,2023,8,0.17995910020449896
Total Nacional,12 Galicia,"15 Coruña, A",2023-02-01,0.87,15,2023,2,0.1595092024539877
Total Nacional,12 Galicia,"15 Coruña, A",2022-08-01,0.94,15,2022,8,0.17382413087934556
Total Nacional,12 Galicia,"15 Coruña, A",2022-02-01,0.77,15,2022,2,0.13905930470347647
Total Nacional,12 Galicia,"15 Coruña, A",2021-08-01,0.81,15,2021,8,0.14723926380368096
Total Nacional,12 Galicia,"15 Coruña, A",2021-02-01,0.7,15,2021,2,0.12474437627811857
Total Nacional,12 Galicia,"15 Coruña, A",2020-08-01,0.77,15,2020,8,0.13905930470347647
Total Nacional,12 Galicia,27 Lugo,2024-08-01,1.11,27,2024,8,0.2085889570552147
Total Nacional,12 Galicia,27 Lugo,2024-02-01,0.9,27,2024,2,0.1656441717791411
Total Nacional,12 Galicia,27 Lugo,2023-08-01,0.95,27,2023,8,0.1758691206543967
Total Nacional,12 Galicia,27 Lugo,2023-02-01,0.92,27,2023,2,0.16973415132924333
Total Nacional,12 Galicia,27 Lugo,2022-08-01,1.0,27,2022,8,0.18609406952965232
Total Nacional,12 Galicia,27 Lugo,2022-02-01,0.75,27,2022,2,0.1349693251533742
Total Nacional,12 Galicia,27 Lugo,2021-08-01,0.8,27,2021,8,0.14519427402862983
Total Nacional,12 Galicia,27 Lugo,2021-02-01,0.64,27,2021,2,0.11247443762781184
Total Nacional,12 Galicia,27 Lugo,2020-08-01,0.71,27,2020,8,0.1267893660531697
Total Nacional,12 Galicia,32 Ourense,2024-08-01,0.43,32,2024,8,0.06952965235173822
Total Nacional,12 Galicia,32 Ourense,2024-02-01,0.37,32,2024,2,0.05725971370143148
Total Nacional,12 Galicia,32 Ourense,2023-08-01,0.34,32,2023,8,0.05112474437627811
Total Nacional,12 Galicia,32 Ourense,2023-02-01,0.32,32,2023,2,0.047034764826175864
Total Nacional,12 Galicia,32 Ourense,2022-08-01,0.32,32,2022,8,0.047034764826175864
Total Nacional,12 Galicia,32 Ourense,2022-02-01,0.27,32,2022,2,0.03680981595092025
Total Nacional,12 Galicia,32 Ourense,2021-08-01,0.27,32,2021,8,0.03680981595092025
Total Nacional,12 Galicia,32 Ourense,2021-02-01,0.24,32,2021,2,0.030674846625766868
Total Nacional,12 Galicia,32 Ourense,2020-08-01,0.26,32,2020,8,0.03476482617586912
Total Nacional,12 Galicia,36 Pontevedra,2024-08-01,1.83,36,2024,8,0.35582822085889565
Total Nacional,12 Galicia,36 Pontevedra,2024-02-01,1.47,36,2024,2,0.2822085889570552
Total Nacional,12 Galicia,36 Pontevedra,2023-08-01,1.49,36,2023,8,0.2862985685071574
Total Nacional,12 Galicia,36 Pontevedra,2023-02-01,1.29,36,2023,2,0.24539877300613494
Total Nacional,12 Galicia,36 Pontevedra,2022-08-01,1.4,36,2022,8,0.2678936605316973
Total Nacional,12 Galicia,36 Pontevedra,2022-02-01,1.1,36,2022,2,0.20654396728016358
Total Nacional,12 Galicia,36 Pontevedra,2021-08-01,1.19,36,2021,8,0.22494887525562368
Total Nacional,12 Galicia,36 Pontevedra,2021-02-01,0.99,36,2021,2,0.1840490797546012
Total Nacional,12 Galicia,36 Pontevedra,2020-08-01,1.1,36,2020,8,0.20654396728016358
Total Nacional,"13 Madrid, Comunidad de",0,2024-08-01,0.76,0,2024,8,0.13701431492842533
Total Nacional,"13 Madrid, Comunidad de",0,2024-02-01,0.66,0,2024,2,0.1165644171779141
Total Nacional,"13 Madrid, Comunidad de",0,2023-08-01,0.57,0,2023,8,0.09815950920245398
Total Nacional,"13 Madrid, Comunidad de",0,2023-02-01,0.56,0,2023,2,0.09611451942740287
Total Nacional,"13 Madrid, Comunidad de",0,2022-08-01,0.54,0,2022,8,0.09202453987730061
Total Nacional,"13 Madrid, Comunidad de",0,2022-02-01,0.53,0,2022,2,0.08997955010224948
Total Nacional,"13 Madrid, Comunidad de",0,2021-08-01,0.6,0,2021,8,0.10429447852760734
Total Nacional,"13 Madrid, Comunidad de",0,2021-02-01,0.61,0,2021,2,0.10633946830265847
Total Nacional,"13 Madrid, Comunidad de",0,2020-08-01,0.68,0,2020,8,0.12065439672801634
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2024-08-01,0.76,28,2024,8,0.13701431492842533
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2024-02-01,0.66,28,2024,2,0.1165644171779141
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2023-08-01,0.57,28,2023,8,0.09815950920245398
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2023-02-01,0.56,28,2023,2,0.09611451942740287
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2022-08-01,0.54,28,2022,8,0.09202453987730061
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2022-02-01,0.53,28,2022,2,0.08997955010224948
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2021-08-01,0.6,28,2021,8,0.10429447852760734
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2021-02-01,0.61,28,2021,2,0.10633946830265847
Total Nacional,"13 Madrid, Comunidad de",28 Madrid,2020-08-01,0.68,28,2020,8,0.12065439672801634
Total Nacional,"14 Murcia, Región de",0,2024-08-01,1.02,0,2024,8,0.19018404907975459
Total Nacional,"14 Murcia, Región de",0,2024-02-01,0.87,0,2024,2,0.1595092024539877
Total Nacional,"14 Murcia, Región de",0,2023-08-01,0.82,0,2023,8,0.14928425357873207
Total Nacional,"14 Murcia, Región de",0,2023-02-01,0.81,0,2023,2,0.14723926380368096
Total Nacional,"14 Murcia, Región de",0,2022-08-01,0.79,0,2022,8,0.14314928425357873
Total Nacional,"14 Murcia, Región de",0,2022-02-01,0.72,0,2022,2,0.12883435582822084
Total Nacional,"14 Murcia, Región de",0,2021-08-01,0.74,0,2021,8,0.13292433537832307
Total Nacional,"14 Murcia, Región de",0,2021-02-01,0.74,0,2021,2,0.13292433537832307
Total Nacional,"14 Murcia, Región de",0,2020-08-01,0.79,0,2020,8,0.14314928425357873
Total Nacional,"14 Murcia, Región de",30 Murcia,2024-08-01,1.02,30,2024,8,0.19018404907975459
Total Nacional,"14 Murcia, Región de",30 Murcia,2024-02-01,0.87,30,2024,2,0.1595092024539877
Total Nacional,"14 Murcia, Región de",30 Murcia,2023-08-01,0.82,30,2023,8,0.14928425357873207
Total Nacional,"14 Murcia, Región de",30 Murcia,2023-02-01,0.81,30,2023,2,0.14723926380368096
Total Nacional,"14 Murcia, Región de",30 Murcia,2022-08-01,0.79,30,2022,8,0.14314928425357873
Total Nacional,"14 Murcia, Región de",30 Murcia,2022-02-01,0.72,30,2022,2,0.12883435582822084
Total Nacional,"14 Murcia, Región de",30 Murcia,2021-08-01,0.74,30,2021,8,0.13292433537832307
Total Nacional,"14 Murcia, Región de",30 Murcia,2021-02-01,0.74,30,2021,2,0.13292433537832307
Total Nacional,"14 Murcia, Región de",30 Murcia,2020-08-01,0.79,30,2020,8,0.14314928425357873
Total Nacional,"15 Navarra, Comunidad Foral de",0,2024-08-01,0.54,0,2024,8,0.09202453987730061
Total Nacional,"15 Navarra, Comunidad Foral de",0,2024-02-01,0.48,0,2024,2,0.07975460122699385
Total Nacional,"15 Navarra, Comunidad Foral de",0,2023-08-01,0.41,0,2023,8,0.06543967280163598
Total Nacional,"15 Navarra, Comunidad Foral de",0,2023-02-01,0.4,0,2023,2,0.06339468302658485
Total Nacional,"15 Navarra, Comunidad Foral de",0,2022-08-01,0.4,0,2022,8,0.06339468302658485
Total Nacional,"15 Navarra, Comunidad Foral de",0,2022-02-01,0.3,0,2022,2,0.042944785276073615
Total Nacional,"15 Navarra, Comunidad Foral de",0,2021-08-01,0.32,0,2021,8,0.047034764826175864
Total Nacional,"15 Navarra, Comunidad Foral de",0,2021-02-01,0.32,0,2021,2,0.047034764826175864
Total Nacional,"15 Navarra, Comunidad Foral de",0,2020-08-01,0.35,0,2020,8,0.05316973415132923
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2024-08-01,0.54,31,2024,8,0.09202453987730061
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2024-02-01,0.48,31,2024,2,0.07975460122699385
Total Nacional,"15 Navarra, Comunidad Foral de",31 Navarra,2023-08-01,0.41,31,2023,8,0.06543967280163598
