Total Nacional,Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Provincias_Cod,Año,Mes,Total_scaled
Total Nacional,01 Andalucía,23 Jaén,2022-08-01,0.22,23,2022,8,0.02658486707566462
Total Nacional,01 Andalucía,23 Jaén,2022-02-01,0.17,23,2022,2,0.016359918200408996
Total Nacional,01 Andalucía,23 Jaén,2021-08-01,0.18,23,2021,8,0.01840490797546012
Total Nacional,01 Andalucía,23 Jaén,2021-02-01,0.15,23,2021,2,0.012269938650306747
Total Nacional,01 Andalucía,23 Jaén,2020-08-01,0.15,23,2020,8,0.012269938650306747
Total Nacional,01 Andalucía,29 Málaga,2024-08-01,4.45,29,2024,8,0.8916155419222903
Total Nacional,01 Andalucía,29 Málaga,2024-02-01,4.12,29,2024,2,0.8241308793456031
Total Nacional,01 Andalucía,29 Málaga,2023-08-01,3.92,29,2023,8,0.7832310838445806
Total Nacional,01 Andalucía,29 Málaga,2023-02-01,3.94,29,2023,2,0.7873210633946829
Total Nacional,01 Andalucía,29 Málaga,2022-08-01,3.91,29,2022,8,0.7811860940695295
Total Nacional,01 Andalucía,29 Málaga,2022-02-01,3.42,29,2022,2,0.6809815950920244
Total Nacional,01 Andalucía,29 Málaga,2021-08-01,3.54,29,2021,8,0.705521472392638
Total Nacional,01 Andalucía,29 Málaga,2021-02-01,3.54,29,2021,2,0.705521472392638
Total Nacional,01 Andalucía,29 Málaga,2020-08-01,3.85,29,2020,8,0.7689161554192229
Total Nacional,01 Andalucía,41 Sevilla,2024-08-01,0.85,41,2024,8,0.15541922290388546
Total Nacional,01 Andalucía,41 Sevilla,2024-02-01,0.82,41,2024,2,0.14928425357873207
Total Nacional,01 Andalucía,41 Sevilla,2023-08-01,0.71,41,2023,8,0.1267893660531697
Total Nacional,01 Andalucía,41 Sevilla,2023-02-01,0.7,41,2023,2,0.12474437627811857
Total Nacional,01 Andalucía,41 Sevilla,2022-08-01,0.67,41,2022,8,0.11860940695296524
Total Nacional,01 Andalucía,41 Sevilla,2022-02-01,0.63,41,2022,2,0.11042944785276071
Total Nacional,01 Andalucía,41 Sevilla,2021-08-01,0.62,41,2021,8,0.10838445807770958
Total Nacional,01 Andalucía,41 Sevilla,2021-02-01,0.63,41,2021,2,0.11042944785276071
Total Nacional,01 Andalucía,41 Sevilla,2020-08-01,0.73,41,2020,8,0.13087934560327197
Total Nacional,02 Aragón,0,2024-08-01,0.61,0,2024,8,0.10633946830265847
Total Nacional,02 Aragón,0,2024-02-01,0.56,0,2024,2,0.09611451942740287
Total Nacional,02 Aragón,0,2023-08-01,0.5,0,2023,8,0.08384458077709611
Total Nacional,02 Aragón,0,2023-02-01,0.5,0,2023,2,0.08384458077709611
Total Nacional,02 Aragón,0,2022-08-01,0.48,0,2022,8,0.07975460122699385
Total Nacional,02 Aragón,0,2022-02-01,0.45,0,2022,2,0.07361963190184048
Total Nacional,02 Aragón,0,2021-08-01,0.46,0,2021,8,0.07566462167689161
Total Nacional,02 Aragón,0,2021-02-01,0.45,0,2021,2,0.07361963190184048
Total Nacional,02 Aragón,0,2020-08-01,0.48,0,2020,8,0.07975460122699385
Total Nacional,02 Aragón,22 Huesca,2024-08-01,1.64,22,2024,8,0.31697341513292426
Total Nacional,02 Aragón,22 Huesca,2024-02-01,1.52,22,2024,2,0.2924335378323108
Total Nacional,02 Aragón,22 Huesca,2023-08-01,1.4,22,2023,8,0.2678936605316973
Total Nacional,02 Aragón,22 Huesca,2023-02-01,1.44,22,2023,2,0.2760736196319018
Total Nacional,02 Aragón,22 Huesca,2022-08-01,1.4,22,2022,8,0.2678936605316973
Total Nacional,02 Aragón,22 Huesca,2022-02-01,1.3,22,2022,2,0.24744376278118607
Total Nacional,02 Aragón,22 Huesca,2021-08-01,1.31,22,2021,8,0.2494887525562372
Total Nacional,02 Aragón,22 Huesca,2021-02-01,1.26,22,2021,2,0.23926380368098155
Total Nacional,02 Aragón,22 Huesca,2020-08-01,1.37,22,2020,8,0.26175869120654394
Total Nacional,02 Aragón,44 Teruel,2024-08-01,0.75,44,2024,8,0.1349693251533742
Total Nacional,02 Aragón,44 Teruel,2024-02-01,0.69,44,2024,2,0.12269938650306744
Total Nacional,02 Aragón,44 Teruel,2023-08-01,0.6,44,2023,8,0.10429447852760734
Total Nacional,02 Aragón,44 Teruel,2023-02-01,0.57,44,2023,2,0.09815950920245398
Total Nacional,02 Aragón,44 Teruel,2022-08-01,0.57,44,2022,8,0.09815950920245398
Total Nacional,02 Aragón,44 Teruel,2022-02-01,0.53,44,2022,2,0.08997955010224948
Total Nacional,02 Aragón,44 Teruel,2021-08-01,0.58,44,2021,8,0.10020449897750508
Total Nacional,02 Aragón,44 Teruel,2021-02-01,0.57,44,2021,2,0.09815950920245398
Total Nacional,02 Aragón,44 Teruel,2020-08-01,0.58,44,2020,8,0.10020449897750508
Total Nacional,02 Aragón,50 Zaragoza,2024-08-01,0.26,50,2024,8,0.03476482617586912
Total Nacional,02 Aragón,50 Zaragoza,2024-02-01,0.24,50,2024,2,0.030674846625766868
Total Nacional,02 Aragón,50 Zaragoza,2023-08-01,0.19,50,2023,8,0.020449897750511245
Total Nacional,02 Aragón,50 Zaragoza,2023-02-01,0.2,50,2023,2,0.02249488752556237
Total Nacional,02 Aragón,50 Zaragoza,2022-08-01,0.18,50,2022,8,0.01840490797546012
Total Nacional,02 Aragón,50 Zaragoza,2022-02-01,0.17,50,2022,2,0.016359918200408996
Total Nacional,02 Aragón,50 Zaragoza,2021-08-01,0.18,50,2021,8,0.01840490797546012
Total Nacional,02 Aragón,50 Zaragoza,2021-02-01,0.18,50,2021,2,0.01840490797546012
Total Nacional,02 Aragón,50 Zaragoza,2020-08-01,0.19,50,2020,8,0.020449897750511245
Total Nacional,"03 Asturias, Principado de",0,2024-08-01,1.3,0,2024,8,0.24744376278118607
Total Nacional,"03 Asturias, Principado de",0,2024-02-01,1.07,0,2024,2,0.20040899795501022
Total Nacional,"03 Asturias, Principado de",0,2023-08-01,1.04,0,2023,8,0.19427402862985682
Total Nacional,"03 Asturias, Principado de",0,2023-02-01,0.95,0,2023,2,0.1758691206543967
Total Nacional,"03 Asturias, Principado de",0,2022-08-01,1.0,0,2022,8,0.18609406952965232
Total Nacional,"03 Asturias, Principado de",0,2022-02-01,0.77,0,2022,2,0.13905930470347647
Total Nacional,"03 Asturias, Principado de",0,2021-08-01,0.84,0,2021,8,0.15337423312883433
Total Nacional,"03 Asturias, Principado de",0,2021-02-01,0.71,0,2021,2,0.1267893660531697
Total Nacional,"03 Asturias, Principado de",0,2020-08-01,0.8,0,2020,8,0.14519427402862983
Total Nacional,"03 Asturias, Principado de",33 Asturias,2024-08-01,1.3,33,2024,8,0.24744376278118607
Total Nacional,"03 Asturias, Principado de",33 Asturias,2024-02-01,1.07,33,2024,2,0.20040899795501022
Total Nacional,"03 Asturias, Principado de",33 Asturias,2023-08-01,1.04,33,2023,8,0.19427402862985682
Total Nacional,"03 Asturias, Principado de",33 Asturias,2023-02-01,0.95,33,2023,2,0.1758691206543967
Total Nacional,"03 Asturias, Principado de",33 Asturias,2022-08-01,1.0,33,2022,8,0.18609406952965232
Total Nacional,"03 Asturias, Principado de",33 Asturias,2022-02-01,0.77,33,2022,2,0.13905930470347647
Total Nacional,"03 Asturias, Principado de",33 Asturias,2021-08-01,0.84,33,2021,8,0.15337423312883433
Total Nacional,"03 Asturias, Principado de",33 Asturias,2021-02-01,0.71,33,2021,2,0.1267893660531697
Total Nacional,"03 Asturias, Principado de",33 Asturias,2020-08-01,0.8,33,2020,8,0.14519427402862983
Total Nacional,"04 Balears, Illes",0,2024-08-01,4.14,0,2024,8,0.8282208588957054
Total Nacional,"04 Balears, Illes",0,2024-02-01,3.84,0,2024,2,0.7668711656441717
Total Nacional,"04 Balears, Illes",0,2023-08-01,4.06,0,2023,8,0.8118609406952964
Total Nacional,"04 Balears, Illes",0,2023-02-01,4.33,0,2023,2,0.8670756646216768
Total Nacional,"04 Balears, Illes",0,2022-08-01,4.61,0,2022,8,0.9243353783231083
Total Nacional,"04 Balears, Illes",0,2022-02-01,4.51,0,2022,2,0.903885480572597
Total Nacional,"04 Balears, Illes",0,2021-08-01,4.98,0,2021,8,0.9999999999999999
Total Nacional,"04 Balears, Illes",0,2021-02-01,4.72,0,2021,2,0.9468302658486706
Total Nacional,"04 Balears, Illes",0,2020-08-01,4.98,0,2020,8,0.9999999999999999
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2024-08-01,4.14,7,2024,8,0.8282208588957054
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2024-02-01,3.84,7,2024,2,0.7668711656441717
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2023-08-01,4.06,7,2023,8,0.8118609406952964
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2023-02-01,4.33,7,2023,2,0.8670756646216768
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2022-08-01,4.61,7,2022,8,0.9243353783231083
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2022-02-01,4.51,7,2022,2,0.903885480572597
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2021-08-01,4.98,7,2021,8,0.9999999999999999
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2021-02-01,4.72,7,2021,2,0.9468302658486706
Total Nacional,"04 Balears, Illes","07 Balears, Illes",2020-08-01,4.98,7,2020,8,0.9999999999999999
Total Nacional,05 Canarias,0,2024-08-01,4.7,0,2024,8,0.9427402862985684
Total Nacional,05 Canarias,0,2024-02-01,4.3,0,2024,2,0.8609406952965234
Total Nacional,05 Canarias,0,2023-08-01,4.08,0,2023,8,0.8159509202453987
Total Nacional,05 Canarias,0,2023-02-01,4.1,0,2023,2,0.8200408997955009
Total Nacional,05 Canarias,0,2022-08-01,3.93,0,2022,8,0.7852760736196318
Total Nacional,05 Canarias,0,2022-02-01,3.72,0,2022,2,0.7423312883435582
Total Nacional,05 Canarias,0,2021-08-01,3.78,0,2021,8,0.7546012269938649
Total Nacional,05 Canarias,0,2021-02-01,3.64,0,2021,2,0.7259713701431492
Total Nacional,05 Canarias,0,2020-08-01,3.63,0,2020,8,0.7239263803680981
Total Nacional,05 Canarias,"35 Palmas, Las",2024-08-01,4.92,35,2024,8,0.9877300613496932
Total Nacional,05 Canarias,"35 Palmas, Las",2024-02-01,4.55,35,2024,2,0.9120654396728015
Total Nacional,05 Canarias,"35 Palmas, Las",2023-08-01,4.37,35,2023,8,0.8752556237218813
Total Nacional,05 Canarias,"35 Palmas, Las",2023-02-01,4.35,35,2023,2,0.871165644171779
Total Nacional,05 Canarias,"35 Palmas, Las",2022-08-01,4.17,35,2022,8,0.8343558282208587
Total Nacional,05 Canarias,"35 Palmas, Las",2022-02-01,3.96,35,2022,2,0.7914110429447851
Total Nacional,05 Canarias,"35 Palmas, Las",2021-08-01,3.97,35,2021,8,0.7934560327198363
Total Nacional,05 Canarias,"35 Palmas, Las",2021-02-01,3.85,35,2021,2,0.7689161554192229
Total Nacional,05 Canarias,"35 Palmas, Las",2020-08-01,3.81,35,2020,8,0.7607361963190183
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2024-08-01,4.48,38,2024,8,0.8977505112474438
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2024-02-01,4.04,38,2024,2,0.8077709611451942
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2023-08-01,3.78,38,2023,8,0.7546012269938649
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2023-02-01,3.83,38,2023,2,0.7648261758691206
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2022-08-01,3.68,38,2022,8,0.7341513292433537
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2022-02-01,3.47,38,2022,2,0.6912065439672801
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2021-08-01,3.58,38,2021,8,0.7137014314928425
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2021-02-01,3.42,38,2021,2,0.6809815950920244
Total Nacional,05 Canarias,38 Santa Cruz de Tenerife,2020-08-01,3.44,38,2020,8,0.6850715746421266
Total Nacional,06 Cantabria,0,2024-08-01,2.26,0,2024,8,0.44376278118609397
Total Nacional,06 Cantabria,0,2024-02-01,1.81,0,2024,2,0.35173824130879344
Total Nacional,06 Cantabria,0,2023-08-01,1.8,0,2023,8,0.3496932515337423
Total Nacional,06 Cantabria,0,2023-02-01,1.59,0,2023,2,0.30674846625766866
Total Nacional,06 Cantabria,0,2022-08-01,1.75,0,2022,8,0.33946830265848665
Total Nacional,06 Cantabria,0,2022-02-01,1.35,0,2022,2,0.2576687116564417
Total Nacional,06 Cantabria,0,2021-08-01,1.5,0,2021,8,0.28834355828220853
Total Nacional,06 Cantabria,0,2021-02-01,1.21,0,2021,2,0.22903885480572592
Total Nacional,06 Cantabria,0,2020-08-01,1.36,0,2020,8,0.2597137014314928
Total Nacional,06 Cantabria,39 Cantabria,2024-08-01,2.26,39,2024,8,0.44376278118609397
